,title,author
14317,The Trees,Conrad Richter
14318,The 19th Wife,David Ebershoff 
14319,Silent in the Grave,Deanna Raybourn 
14321,Hunting Fear,Kay Hooper
14322,Return,Karen Kingsbury 
14323,Decider,Dick Francis
14324,Cry in the Night,Colleen Coble 
14325,The Power That Preserves,Stephen R. Donaldson
14326,Dead Aim,Iris Johansen 
14327,Born on the Fourth of July,Ron Kovic
14328,Tuesday's Child,Louise Bagshawe 
14329,Exile and the Kingdom,Albert Camus
14330,Tempest Rising,Nicole Peeler 
14331,Wildwing,Emily Whitman 
14332,The Highwayman,R.A. Salvatore
14333,The Immortal Realm,Allan Frewin Jones
14336,Tempestuous,Lesley Livingston 
14338,Plague of the Dead,Z.A. Recht
14339,The Year I Turned Sixteen,Diane Schwemm
14340,Death by Denim,Linda Gerber 
14341,The Princes of Ireland,Edward Rutherfurd 
14342,Circles of Seven,Bryan Davis 
14343,Ronin,Frank Miller
14345,"Kitchen Princess, Vol. 01",Natsumi Andō (Illustrator)
14347,Found,Sarah Prineas 
14348,The Dream Songs,John Berryman
14349,Demon Apocalypse,Darren Shan 
14350,Enchantress from the Stars,Sylvia Engdahl 
14351,Deadly Little Voices,Laurie Faria Stolarz 
14352,A Girl Like You,Gemma Burgess
14353,The Violets of March,Sarah Jio 
14354,Black Moon,J.D. Tyler 
14355,Pillow Talk,Freya North 
14356,Rise,Anna Carey 
14357,The Foot Book: Dr. Seuss's Wacky Book of Opposites,Dr. Seuss
14358,The Dark Rival,Jude Watson 
14359,A Change of Fortune,Jen Turano 
14360,Land of Black Gold,Hergé
14362,"Avatar: The Last Airbender: The Search, Part 1",Gene Luen Yang  (Writer)
14363,The Book of Atrus,Rand Miller
14365,In the Ruins,Kate Elliott 
14366,The Keeper,Suzanne Woods Fisher 
14367,The Impact of You,Kendall Ryan 
14369,Unchained - Nephilim Rising,J. Lynn
14370,Sins of the Demon,Diana Rowland 
14371,"A Bride's Story, Vol. 1",Kaoru Mori
14372,Mass Effect: Ascension,Drew Karpyshyn 
14373,Secret,Brigid Kemmerer 
14374,Celebrity in Death,J.D. Robb 
14375,Saved,Kelly Elliott 
14376,Tales from the Perilous Realm,J.R.R. Tolkien
14377,Layla and Majnun,Nizami Ganjavi
14378,Insignia,S.J. Kincaid 
14379,Past Caring,Robert Goddard
14380,The World of Robert Jordan's the Wheel of Time,Robert Jordan
14381,Hunted,Kevin Hearne 
14383,Armageddon Outta Here,Derek Landy
14384,The Madman of Piney Woods,Christopher Paul Curtis
14385,November of the Heart,LaVyrle Spencer
14386,Tintin and the Lake of Sharks,Hergé
14388,Borders of Infinity,Lois McMaster Bujold 
14390,Dark Frost,Jennifer Estep 
14393,The Promise,Lesley Pearse
14394,I Can Be a Better You,Tarryn Fisher 
14395,"War and Peace, V1",Leo Tolstoy
14396,Natchez Burning,Greg Iles 
14397,Magic Marks the Spot,Caroline Carlson 
14398,The Facts of Life,Graham Joyce
14399,Sapphire Battersea,Jacqueline Wilson
14400,Little Darlings,Jacqueline Wilson
14401,The Last Mrs. Parrish,Liv Constantine 
14403,"Locke & Key, Vol. 5: Clockworks",Joe Hill 
14404,The Discourses,Niccolò Machiavelli
14405,"Mirror, Mirror",Jen Calonita 
14406,Rebel,Marie Lu 
14407,Stone Cold,David Baldacci 
14409,Mirror Mirror,Gregory Maguire
14411,Confessions of a Crap Artist,Philip K. Dick
14412,Fire by Night,Lynn Austin 
14413,The First Wives Club,Olivia Goldsmith
14414,I'll Scream Later,Marlee Matlin
14415,Forever,Karen Kingsbury 
14416,Betwixt,Tara Bray Smith
14417,Dragon Harper,Anne McCaffrey
14418,Ironhand's Daughter,David Gemmell
14419,Gone with the Wind Letters,Margaret Mitchell
14420,Shadowbred,Paul S. Kemp 
14421,Dawn of Night,Paul S. Kemp 
14422,Leonardo's Notebooks,Leonardo da Vinci
14423,All Souls: A Family Story from Southie,Michael Patrick MacDonald 
14424,Pink and Say,Patricia Polacco
14425,One Man's Wilderness: An Alaskan Odyssey,Sam Keith
14426,The Horse's Mouth,Joyce Cary
14428,Sixpence House: Lost in a Town of Books,Paul Collins 
14429,Death by Bikini,Linda Gerber 
14430,You Wish,Mandy Hubbard 
14432,Joker,Brian Azzarello
14434,Past Perfect,Leila Sales 
14436,The River King,Alice Hoffman 
14437,Personal Demons,Lisa Desrochers 
14438,Lion of Ireland,Morgan Llywelyn
14439,Heartburn,Nora Ephron
14440,Fire and Ice,Julie Garwood 
14441,The Shadow of the Bear,Regina Doman 
14442,Songmaster,Orson Scott Card
14444,"Kaspar, Prince of Cats",Michael Morpurgo
14445,Catch of the Day,Kristan Higgins 
14446,A Waltz for Matilda,Jackie French
14447,The Poetry and Short Stories of Dorothy Parker (Modern Library),Dorothy Parker
14448,Jaina Proudmoore: Tides of War,Christie Golden
14449,Across The Hall,N.M. Facile 
14450,Wicked Ties,Shayla Black 
14451,Flashman at the Charge,George MacDonald Fraser
14452,Tintin in the Land of the Soviets,Hergé
14453,Legend,Jude Deveraux
14455,Practical Demonkeeping,Christopher Moore 
14456,Second Rate Chances,Holly Stephens 
14458,Heart-Shaped Bruise,Tanya Byrne 
14459,A Million Miles in a Thousand Years: What I Learned While Editing My Life,Donald Miller
14461,South: The Story of Shackleton's Last Expedition 1914-1917,Ernest Shackleton
14465,Concerning the Spiritual in Art,Wassily Kandinsky
14466,Quincas Borba,Machado de Assis
14469,The Day the Crayons Quit,Drew Daywalt (著)
14471,Darkness Splintered,Keri Arthur 
14473,Monster,Francette Phal
14474,American Savages,J.J. McAvoy
14475,Chariots of The Gods,Erich von Däniken
14476,Small Steps,Louis Sachar 
14477,"Tegami Bachi: Letter Bee, Volume 1",Hiroyuki Asada
14478,Blackwater: The Complete Caskey Family Saga,Michael McDowell
14480,"Eleanor Roosevelt, Volume 1: 1884-1933",Blanche Wiesen Cook
14481,Random Acts of Senseless Violence,Jack Womack
14483,Crimson Bound,Rosamund Hodge 
14484,Little Peach,Peggy Kern
14485,Heaven,Randy Alcorn 
14489,The Scroll of Seduction,Gioconda Belli
14490,Laurus,Eugene Vodolazkin
14491,Last Letters of Jacopo Ortis,Ugo Foscolo
14492,The Boy on the Bridge,M.R. Carey 
14493,El Deafo,Cece Bell 
14494,The Lives of Animals,J.M. Coetzee
14495,Complicity,Iain Banks
14496,There's Treasure Everywhere,Bill Watterson
14497,"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",Dan Harris 
14498,Persepolis Rising,James S.A. Corey 
14499,How to Run with a Naked Werewolf,Molly Harper 
14500,The Land of Laughs,Jonathan Carroll
14501,Bread Givers,Anzia Yezierska
14502,Jesus of Nazareth: From the Baptism in the Jordan to the Transfiguration,Benedict XVI
14504,The Mayor of Castro Street: The Life and Times of Harvey Milk,Randy Shilts
14505,Slander: Liberal Lies About the American Right,Ann Coulter
14507,Lust Killer,Ann Rule
14508,Fatal Remedies,Donna Leon
14509,The Pretty Committee Strikes Back,Lisi Harrison 
14510,New Seeds of Contemplation,Thomas Merton
14511,Rabelais and His World,Mikhail Bakhtin
14513,The End of History and the Last Man,Francis Fukuyama
14514,The Illearth War,Stephen R. Donaldson
14515,Outlaws of the Marsh,Shi Nai'an
14516,The Hungry Tide,Amitav Ghosh
14517,The Killing Kind,John Connolly 
14518,The Prize,Irving Wallace
14520,Damien,Jacquelyn Frank 
14521,Screaming in the Silence,Lydia Kelly
14522,Shadow Music,Julie Garwood 
14525,Alphabet Weekends,Elizabeth Noble
14526,Only Yours,Susan Mallery 
14527,Rogue,Mark Walden 
14530,The Queen,Steven James 
14531,Walking on Glass,Iain Banks
14532,Sugar and Spice,Lauren Conrad
14533,The Last Defender of Camelot,Roger Zelazny
14534,Vampire Hunter D,Hideyuki Kikuchi
14535,A Rule Against Murder,Louise Penny 
14536,Heir of Sea and Fire,Patricia A. McKillip
14537,Harpist in the Wind,Patricia A. McKillip
14538,The Dot,Peter H. Reynolds
14539,Bradbury Stories: 100 of His Most Celebrated Tales,Ray Bradbury
14540,The Mayfair Moon,J.A. Redmerski 
14541,Kindred,J.A. Redmerski 
14542,The Ballad of Aramei,J.A. Redmerski 
14543,Riveted,Meljean Brook
14545,Tallgrass,Sandra Dallas
14546,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Michael Azerrad
14547,The Rising Force,Dave Wolverton
14548,Iron in the Soul,Jean-Paul Sartre
14549,Mass Effect: Retribution,Drew Karpyshyn 
14552,"Rashed, My Friend",Muhammed Zafar Iqbal
14553,The Devil's Right Hand,Lilith Saintcrow 
14555,The Harper Hall of Pern,Anne McCaffrey
14557,The Forgotten Ones,Pittacus Lore
14558,The Indian Bride,Karin Fossum
14559,The Cat Who Went to Heaven,Elizabeth Coatsworth
14560,It Does Not Die,Maitreyi Devi
14561,Illuminate,Aimee Agresti 
14562,Legend Trilogy Boxed Set,Marie Lu 
14563,A Fortune-Teller Told Me: Earthbound Travels in the Far East,Tiziano Terzani
14564,Fallen from Grace,Laura Leone
14565,Darkness Falls,Keri Arthur 
14566,Tales of Terror from the Black Ship,Chris Priestley
14567,Lethal,Sandra Brown 
14568,East of the Sun,Julia Gregson 
14569,The Brightest Star in the Sky,Marian Keyes
14570,Stranger and Stranger,Rob Reger 
14571,Batman: Hush,Jeph Loeb (Writer)
14574,The Greek Myths,Robert Graves
14575,The Zodiac Legacy: Convergence,Stan Lee
14576,Listen to the Moon,Michael Morpurgo
14578,Tales of the Peculiar,Ransom Riggs
14579,Stuck-Up Suit,Vi Keeland 
14580,Daredevil: The Man Without Fear,Frank Miller
14581,Arctic Dreams,Barry Lopez 
14582,The Falconer,Elizabeth May 
14584,See Jane Run,Joy Fielding
14585,Friend Request,Laura Marshall
14586,Salt,Nayyirah Waheed 
14589,The Shadows Between Us,Tricia Levenseller 
14590,"Little Man, What Now?",Hans Fallada
14592,Miguel Street,V.S. Naipaul
14593,Bring Me the Head of Prince Charming,Roger Zelazny
14594,The Fields,Conrad Richter
14596,Mere Christianity and The Screwtape Letters,C.S. Lewis
14597,The Seeing Stone,Kevin Crossley-Holland
14598,A Short History of Tractors in Ukrainian,Marina Lewycka
14599,Enchanter,Sara Douglass
14600,Olivia,Ian Falconer
14601,Homecoming,Patricia Briggs
14602,Leven Thumps and the Whispered Secret,Obert Skye
14603,Duncan's Bride,Linda Howard
14604,The Anvil of the World,Kage Baker
14605,Life Sucks,Jessica Abel 
14606,The Pursuit of Love,Nancy Mitford
14607,The Hand That First Held Mine,Maggie O'Farrell 
14608,Shadowrealm,Paul S. Kemp 
14609,Ecstasy,Jacquelyn Frank 
14610,A Match Made in High School,Kristin Walker 
14611,"Halo: The Fall of Reach, The Flood, First Strike",Eric S. Nylund 
14612,The Lost Queen,Allan Frewin Jones
14613,The Seventh Daughter,Allan Frewin Jones
14614,Bliss,Lauren Myracle
14615,Reincarnation,Suzanne Weyn
14616,Bloodchild and Other Stories,Octavia E. Butler
14617,Cadillac Desert: The American West and Its Disappearing Water,Marc Reisner
14618,"Pinball, 1973",Haruki Murakami
14619,His Purrfect Mate,Laurann Dohner
14620,The Heart Mender: A Story of Second Chances,Andy Andrews 
14621,Saturnin,Zdeněk Jirotka
14622,Black Trillium,Marion Zimmer Bradley
14623,Now You See Her,James Patterson 
14624,Severed,Simon Kernick 
14625,Relentless,Simon Kernick 
14626,Wolfsbane,Ronie Kendig 
14627,The Deepest Cut,J.A. Templeton 
14629,Lost,Sarah Prineas 
14630,Uther,Jack Whyte 
14633,The Haunted Bookshop,Christopher Morley
14634,The Mystery of the Blue Train,Agatha Christie
14635,Darke,Angie Sage
14637,Mathilda,Mary Wollstonecraft Shelley
14641,Stolen,Lesley Pearse
14642,Mine Till Midnight,Lisa Kleypas 
14643,Hostage,Robert Crais
14644,The Melancholy of Resistance,László Krasznahorkai
14647,"Hold Me Closer, Necromancer",Lish McBride 
14649,Immortal,J.R. Ward 
14651,Lorna Doone,R.D. Blackmore
14653,Barabbas,Pär Lagerkvist
14654,The Untouchables,J.J. McAvoy
14655,Love's Suicide,Jennifer Foor 
14656,The End of the World,Derek Landy
14659,Black Wolves,Kate Elliott 
14660,Reawakened,Colleen Houck 
14661,The House of Shattered Wings,Aliette de Bodard 
14662,Updraft,Fran Wilde 
14665,An Inheritance of Ashes,Leah Bobet 
14666,Hunter,Mercedes Lackey
14667,City of Blades,Robert Jackson Bennett 
14668,The Spider's War,Daniel Abraham
14669,The Price of Valour,Django Wexler 
14670,The Dinosaur Lords,Victor Milán
14671,"Batman: Knightfall, Part One: Broken Bat",Doug Moench
14672,Where Angels Fear to Tread,E.M. Forster
14674,The Ones Who Walk Away from Omelas,Ursula K. Le Guin
14675,Pucked Over,Helena Hunting 
14676,Homecoming,Kass Morgan 
14678,The Wolf Wilder,Katherine Rundell
14679,Reflections Of A Man,Amari Soul 
14684,The Boys Who Challenged Hitler: Knud Pedersen and the Churchill Club,Phillip Hoose
14685,A Map of Days,Ransom Riggs
14687,Orphan Monster Spy,Matt Killeen
14688,Amal Unbound,Aisha Saeed 
14689,Spin the Dawn,Elizabeth Lim 
14690,Friends in High Places,Donna Leon
14691,Revenge of the Wannabes,Lisi Harrison 
14692,Best Friends for Never,Lisi Harrison 
14693,Sold,Zana Muhsen
14694,Moon Dance,J.R. Rain 
14695,StarCrossed,Elizabeth C. Bunce 
14697,Exile's Honor,Mercedes Lackey
14698,Charlotte Sometimes,Penelope Farmer
14699,Emotionally Weird,Kate Atkinson
14700,10 Things to Do Before I Die,Daniel Ehrenhaft
14701,News of a Kidnapping,Gabriel García Márquez
14702,Tribes: We Need You to Lead Us,Seth Godin
14703,Firegirl,Tony Abbott
14704,The Pursuit of Happiness,Douglas Kennedy 
14705,Spud,John van de Ruit
14706,Deathwish,Rob Thurman 
14707,Lives Other than My Own: A Memoir,Emmanuel Carrère
14708,Vampire Crush,A.M. Robinson 
14709,Fräulein Else,Arthur Schnitzler
14710,A Gathering of Old Men,Ernest J. Gaines
14711,Rainbow Road,Alex Sanchez 
14713,Little Lord Fauntleroy,Frances Hodgson Burnett
14714,Original Sin,Lisa Desrochers 
14715,Don't Look Now,Daphne du Maurier
14716,Dreaming Awake,Gwen Hayes
14717,Eloise,Kay Thompson
14718,Seven Days in the Art World,Sarah Thornton
14719,The Fairy Rebel,Lynne Reid Banks
14720,Eragon's Guide to Alagaësia,Christopher Paolini 
14721,"Bone: Quest for the Spark, Vol. 1",Tom Sniegoski
14724,Smitten,Lacey Weatherford 
14725,Ashen Winter,Mike Mullin 
14726,Living to Tell the Tale,Gabriel García Márquez
14727,The Fallen Legacies,Pittacus Lore
14728,Stronghold,Melanie Rawn
14729,Legend of the Sword,Michael R. Hicks 
14730,Big Nate Strikes Again,Lincoln Peirce
14731,You Were Mine,Abbi Glines 
14732,Fury's Kiss,Karen Chance 
14733,Uncle Montague's Tales of Terror,Chris Priestley
14734,Be Careful What You Wish For,Jeffrey Archer
14735,Cinderella Screwed Me Over,Cindi Madsen 
14737,Archangel's Enigma,Nalini Singh 
14738,The Initiation,L.J. Smith 
14739,Breaker's Reef,Terri Blackstock 
14740,Report to Greco,Nikos Kazantzakis
14741,Take a Chance on Me,Susan May Warren 
14742,Paladin,Sally Slater 
14743,Bellefleur,Joyce Carol Oates
14744,The Heartbroken Heartbreaker,Sam Madison
14745,None of the Above,I.W. Gregorio 
14746,The Complete Works of Edgar Allan Poe,Edgar Allan Poe
14748,Hetty Feather,Jacqueline Wilson
14749,"Clothes, Clothes, Clothes. Music, Music, Music. Boys, Boys, Boys",Viv Albertine
14750,Bob,Wendy Mass 
14751,"xxxHolic, Vol. 2",CLAMP
14752,Madouc,Jack Vance
14753,Possession,Ann Rule
14754,Betsy in Spite of Herself,Maud Hart Lovelace
14755,The Ladies of Missalonghi,Colleen McCullough
14756,French Women Don't Get Fat: The Secret of Eating for Pleasure,Mireille Guiliano
14757,The Copper Beech,Maeve Binchy
14759,Dark Moon,David Gemmell
14760,For the Sake of Elena,Elizabeth George 
14761,Murder Game,Christine Feehan 
14762,The Tough Guide to Fantasyland,Diana Wynne Jones
14763,She Who Remembers,Linda Lay Shuler
14764,The Girl With Glass Feet,Ali Shaw 
14766,Conrad's Fate,Diana Wynne Jones
14767,My Friend Flicka,Mary O'Hara
14768,Blackout,Rob Thurman 
14769,Tishomingo Blues,Elmore Leonard
14772,Eternal Hunter,Cynthia Eden 
14773,Rekindled,Tamera Alexander 
14774,"Six Not-So-Easy Pieces: Einstein's Relativity, Symmetry, and Space-Time",Richard P. Feynman
14776,Saving Private Ryan,Jacqueline Kehl (Adapted by)
14777,The Pawn,Steven James 
14778,Awakening the Buddha Within: Eight Steps to Enlightenment,Surya Das 
14779,The Rats,James Herbert
14780,Stopping by Woods on a Snowy Evening,Robert Frost
14782,The Mystery of Edwin Drood,Charles Dickens
14783,Survivor,J.F. Gonzalez
14785,"Start: Punch Fear in the Face, Escape Average and Do Work that Matters",Jon Acuff 
14786,"Sister, Missing",Sophie McKenzie 
14787,The Neptune Project,Polly Holyoke 
14790,Echo Burning,Lee Child 
14791,Chimera,John Barth
14792,Library of the Dead,Glenn Cooper 
14793,The Further Adventures of Sherlock Holmes: The Veiled Detective,David Stuart Davies 
14794,Mornings in Jenin,Susan Abulhawa 
14795,Messiah's Handbook: Reminders for the Advanced Soul,Richard Bach 
14797,People of the Fire,W. Michael Gear
14799,The White Disease,Karel Čapek
14801,The Intern,Gabrielle Tozer 
14802,A Whole New World,Liz Braswell 
14803,Inherit the Stars,Tessa Elwood 
14804,The Vanishing Throne,Elizabeth May 
14805,On Stranger Tides,Tim Powers
14806,Outbound Flight,Timothy Zahn 
14807,First Frost,Sarah Addison Allen 
14808,Too Late,Colleen Hoover 
14809,The Cloak Society,Jeramey Kraatz 
14810,The Wright Brothers,David McCullough
14811,Lady Windermere's Fan,Oscar Wilde
14812,Island of Dragons,Lisa McMann 
14813,The Radium Girls: The Dark Story of America's Shining Women,Kate Moore 
14815,Touched,Elisa S. Amore 
14816,Unfaithful,Elisa S. Amore 
14818,Need to Know,Karen Cleveland 
14819,Suicide Casanova,Arthur Nersesian
14820,"Nausicaä of the Valley of the Wind, Vol. 6",Hayao Miyazaki (Scriptwriter/Illustrator)
14821,Before the Coffee Gets Cold,Toshikazu Kawaguchi
14823,When It's Real,Erin Watt 
14827,Without Reservations: The Travels of an Independent Woman,Alice Steinbach
14830,Heat,Mike Lupica
14831,David Attenborough's Life on Air: Memoirs of a Broadcaster,David Attenborough
14832,Walking Across Egypt,Clyde Edgerton
14834,The Book of D'ni,Rand Miller
14835,Halos,Kristen Heitzmann 
14836,What They Always Tell Us,Martin Wilson 
14837,"Re: Colonised Planet 5, Shikasta",Doris Lessing
14838,City of Bones,Michael Connelly 
14839,The Regulators,Richard Bachman (Pseudonym)
14840,The Luckiest Girl in the World,Steven Levenkron
14841,Heaven and Hell,John Jakes
14843,X-Men: The Dark Phoenix Saga,Chris Claremont (Writer)
14845,Loose Girl: A Memoir of Promiscuity,Kerry Cohen 
14846,Heaven and Earth,Nora Roberts 
14847,Vampire Rites Trilogy,Darren Shan 
14848,Do You Come Here Often?,Alexandra Potter 
14849,The Stand: Captain Trips,Roberto Aguirre-Sacasa (Adaptor)
14850,The Rook,Steven James 
14854,The Golden Spiral,Lisa Mangum 
14855,Nathaniel,John Saul
14857,Captain Alatriste,Arturo Pérez-Reverte
14858,Spies,Michael Frayn
14859,Andy Goldsworthy: A Collaboration with Nature,Andy Goldsworthy
14860,Sailor Twain: Or: The Mermaid in the Hudson,Mark Siegel 
14861,Tintin: Complete Companion,Michael Farr
14862,The Black Island,Hergé
14863,My Story,Marilyn Monroe
14864,Life & Laughing: My Story,Michael McIntyre
14867,Going Under,S. Walden
14869,Five Go Off in a Caravan,Enid Blyton
14871,Johnny Angel,Danielle Steel
14873,Sixty-One Nails,Mike Shevdon 
14874,Island of Fire,Lisa McMann 
14876,How to Ruin Your Boyfriend's Reputation,Simone Elkeles 
14877,How to Ruin My Teenage Life,Simone Elkeles 
14878,Fading,E.K. Blair 
14879,Under the Hawthorn Tree,Ai Mi
14881,The Wheel of time series by Robert Jordan,Robert Jordan
14882,Red-Headed Stepchild,Jaye Wells 
14883,Resistance,Anita Shreve
14885,Bound by Hatred,Cora Reilly 
14886,The Lost Conspiracy,Frances Hardinge
14887,Mermen,Mimi Jean Pamfiloff 
14888,MerMadmen,Mimi Jean Pamfiloff 
14889,"Red River, Vol. 1",Chie Shinohara
14891,Forge of Darkness,Steven Erikson 
14894,Run with the Horsemen,Ferrol Sams
14896,Tarantula,Bob Dylan
14898,On the Edge of Gone,Corinne Duyvis 
14899,The Greek Myths: 1,Robert Graves
14901,The Element: How Finding Your Passion Changes Everything,Ken Robinson
14903,The Grand Tour,Patricia C. Wrede 
14904,Complete Shorter Fiction,Oscar Wilde
14905,The Rosary,Florence Louisa Barclay
14906,Sunrise,Karen Kingsbury 
14907,Flappers and Philosophers,F. Scott Fitzgerald
14908,"Runaways Deluxe, Vol. 1",Brian K. Vaughan 
14909,Leven Thumps and the Wrath of Ezra,Obert Skye
14910,"Y: The Last Man, Vol. 10: Whys and Wherefores",Brian K. Vaughan 
14911,Galway Bay,Mary Pat Kelly
14913,The Last Leopard,Lauren St. John 
14914,Election,Tom Perrotta
14916,Claimed by the Highlander,Julianne MacLean 
14917,Chasers,James Phelan 
14918,A Chalice of Wind,Cate Tiernan
14919,The Greenlanders,Jane Smiley 
14921,The Fractal Geometry of Nature,Benoît B. Mandelbrot
14922,Revealed,Tamera Alexander 
14923,Tattoos on the Heart: The Power of Boundless Compassion,Gregory Boyle
14925,The People of the Abyss,Jack London
14926,The Glass Swallow,Julia Golding 
14927,Fear is the Key,Alistair MacLean
14928,The Meaning of Night,Michael Cox
14930,The Saddest Girl in the World,Cathy Glass
14931,Awry,Chelsea Fine 
14932,Berserk,Tim Lebbon 
14933,Flight 714 to Sydney,Hergé
14934,The Buddha in the Attic,Julie Otsuka
14936,Marathon Man,William Goldman
14937,Storybound,Marissa Burt 
14938,"When I Stop Talking, You'll Know I'm Dead: Useful Stories from a Persuasive Man",Jerry Weintraub
14939,A Cast of Stones,Patrick W. Carr 
14940,Death of a Naturalist,Seamus Heaney
14941,Bring Me Home,Cassia Leo 
14942,Baby Proof,Emily Giffin 
14943,The Firebird,Susanna Kearsley 
14945,The Originals,Cat Patrick 
14946,The Prey,Andrew Fukuda
14947,Shiva's Fire,Suzanne Fisher Staples
14949,The Second World War,Winston S. Churchill
14951,The Evil We Love,Cassandra Clare 
14952,"Yu-Gi-Oh!, Vol. 1: The Millenium Puzzle",Kazuki Takahashi
14953,An Ordinary Man: An Autobiography,Paul Rusesabagina
14956,The Drafter,Kim Harrison 
14957,The Veil,Chloe Neill 
14958,Dark Heir,Faith Hunter 
14959,Cracked,Eliza Crewe 
14960,"Sword Art Online: Progressive, Vol. 1",Reki Kawahara
14961,The Belly of Paris,Émile Zola
14962,Vanishing Girls,Lauren Oliver 
14963,Us,Sarina Bowen 
14964,More Than Him,Jay McLean 
14965,Inherit the Stars,James P. Hogan
14966,I Am Princess X,Cherie Priest 
14969,Dare to Lead,Brené Brown 
14971,The Sixth Extinction: An Unnatural History,Elizabeth Kolbert
14972,The Water Dancer,Ta-Nehisi Coates
14973,The Mothers,Brit Bennett 
14974,Topdog/Underdog,Suzan-Lori Parks
14975,Petals of Blood,Ngũgĩ wa Thiong'o
14976,Eat to Live: The Revolutionary Formula for Fast and Sustained Weight Loss,Joel Fuhrman 
14978,Dial L for Loser,Lisi Harrison 
14979,Digging to America,Anne Tyler 
14981,"Nip the Buds, Shoot the Kids",Kenzaburō Ōe
14982,Barrel Fever: Stories and Essays,David Sedaris
14983,The Looking Glass,Richard Paul Evans
14984,Prentice Alvin,Orson Scott Card
14985,Heartbreaker,Linda Howard
14987,Six Wives: The Queens of Henry VIII,David Starkey
14988,Quest for Lost Heroes,David Gemmell
14989,Summer,Eden Maguire
14990,The Observations,Jane Harris
14992,Touch of Darkness,Christina Dodd 
14993,Robot Dreams,Isaac Asimov
14994,Naomi,Jun'ichirō Tanizaki
14995,Lady of Milkweed Manor,Julie Klassen 
14996,The Secret of Platform 13,Eva Ibbotson
14997,The Autograph Man,Zadie Smith
14999,Finding Perfect,Susan Mallery 
15000,The Knight,Steven James 
15001,Awakening,Wendy Corsi Staub 
15003,"Mad in America: Bad Science, Bad Medicine, and the Enduring Mistreatment of the Mentally Ill",Robert Whitaker
15005,Into the Dreaming,Karen Marie Moning 
15006,Heaven and Hell,Kristen Ashley 
15007,Then,Morris Gleitzman
15010,Bourne,Lisa Tawn Bergren 
15011,A Daughter of Zion,Bodie Thoene 
15012,Dracula the Un-Dead,Dacre Stoker
15013,"Captain Marvel, Volume 1: In Pursuit of Flight",Kelly Sue DeConnick  (Writer)
15014,Flyaway,Lucy Christopher 
15015,The Greater Journey: Americans in Paris,David McCullough
15016,Facing Your Giants: God Still Does the Impossible,Max Lucado 
15017,Tangle of Need,Nalini Singh 
15018,The Hunt,Andrew Fukuda
15019,The Drowning Girl,Caitlín R. Kiernan
15020,The Inimitable Jeeves,P.G. Wodehouse
15021,The Adventures of Baron Münchausen,Rudolf Erich Raspe
15022,Untamed,Pamela Clare 
15023,Touch,Claire North
15025,The violin of Auschwitz,Maria Àngels Anglada
15031,Typee: A Peep at Polynesian Life,Herman Melville
15034,Night Broken,Patricia Briggs
15035,When We Collided,Emery Lord 
15036,Airport,Arthur Hailey
15038,The Fog Diver,Joel N. Ross
15039,Brokenhearted,Elisa S. Amore 
15040,The Blackthorn Key,Kevin Sands 
15041,Prince Lestat and the Realms of Atlantis,Anne Rice
15042,"Nausicaä of the Valley of the Wind, Vol. 5",Hayao Miyazaki (Scriptwriter/Illustrator)
15045,The Hand on the Wall,Maureen Johnson 
15047,Front Desk,Kelly Yang 
15048,Gourmet Rhapsody,Muriel Barbery
15049,The Baker's Boy,J.V. Jones
15050,The Innocent,Ian McEwan
15051,Real Vampires Have Curves,Gerry Bartlett 
15052,The Book of Mirdad: The strange story of a monastery which was once called The Ark,Mikhail Naimy
15053,Little Pilgrim's Progress: From John Bunyan's Classic,Helen L. Taylor
15054,Wilful Behaviour,Donna Leon
15055,Bratfest at Tiffany's,Lisi Harrison 
15056,"The Accidental Billionaires: The Founding of Facebook, a Tale of Sex, Money, Genius, and Betrayal",Ben Mezrich 
15057,Spellbinder,L.J. Smith 
15058,Soulmate,L.J. Smith 
15059,Dark Angel,L.J. Smith 
15060,Thunder Cake,Patricia Polacco
15061,Small World,David Lodge
15062,Wolf in Shadow,David Gemmell
15065,Breathless,Dean Koontz 
15067,Elijah,Jacquelyn Frank 
15068,Cat and Mouse,Günter Grass
15069,Laughter in the Dark,Vladimir Nabokov
15070,"Someone Comes to Town, Someone Leaves Town",Cory Doctorow
15072,Mara and Dann,Doris Lessing
15074,Promise,Kristie Cook 
15075,Guardian of the Gate,Michelle Zink 
15077,Mrs. McGinty's Dead,Agatha Christie
15078,Always,Jude Deveraux
15079,The Oracle of Stamboul,Michael David Lukas 
15080,The Fisherman's Lady,George MacDonald
15081,Shakespeare's Secret,Elise Broach
15082,The Vicar of Wakefield,Oliver Goldsmith
15083,Tears of a Dragon,Bryan Davis 
15084,Complexity: A Guided Tour,Melanie Mitchell
15085,Perrault's Fairy Tales,Charles Perrault
15087,The Fight,Norman Mailer
15088,Beautiful,Amy Reed 
15090,Blurred Expectations,Carrie Ann Ryan 
15091,"The Walking Dead, Vol. 12: Life Among Them",Robert Kirkman
15092,Dark Citadel,Cherise Sinclair 
15093,Maid for Love,Marie Force 
15094,The Red Sea Sharks,Hergé
15095,"Kimi ni Todoke: From Me to You, Vol. 1",Karuho Shiina
15096,Hot as Sin,Bella Andre 
